ORF_ID,KO_ID,KO_Function,KO_Score,Secondary_KO_ID,Secondary_KO_Score
k127_8617778_2,K03582,recB; exodeoxyribonuclease V beta subunit [EC:3.1.11.5],32,,
k127_3426569_1,K03324,yjbB; phosphate:Na+ symporter,308,,
k127_10797968_1,,,15,K03388,2
k127_4880183_2,,,10,K00615,4
k127_10486487_3,,,362,,
k127_831119_2,,,19,K09472,2
k127_10590284_6,K03495,"gidA, mnmG, MTO1; tRNA uridine 5-carboxymethylaminomethyl modification enzyme",577,,
k127_623480_1,,,37,K00479,5
k127_10175178_3,K00351,nqrF; Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:7.2.1.1],427,,
k127_2803696_5,K01928,"murE; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]",323,,
k127_8098590_8,K02337,dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7],168,,
k127_9240672_1,K01649,"leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]",483,,
k127_2492273_1,K03500,"rsmB, sun; 16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]",324,,
k127_9863602_1,,,9,K03631,8
k127_7164277_4,,,17,K07486,4
k127_5295506_3,K02519,"infB, MTIF2; translation initiation factor IF-2",658,,
k127_8617844_1,K03621,plsX; phosphate acyltransferase [EC:2.3.1.274],279,,
k127_7994894_5,,,32,K02688,14
k127_3426630_1,K03555,mutS; DNA mismatch repair protein MutS,405,,
k127_1661644_1,,,124,K08971,3
k127_2492299_1,K01179,E3.2.1.4; endoglucanase [EC:3.2.1.4],188,K01728,7
k127_10486560_3,,,13,K02408,3
k127_6541300_1,,,11,K02034,2
k127_9863667_2,K03427,hsdM; type I restriction enzyme M protein [EC:2.1.1.72],144,,
k127_10382860_1,,,120,K26706,3
k127_6852980_2,,,11,K01869,6
k127_3322934_1,K03723,mfd; transcription-repair coupling factor (superfamily II helicase) [EC:5.6.2.4],804,,
k127_3322934_9,K02469,gyrA; DNA gyrase subunit A [EC:5.6.2.2],828,,
k127_5607029_1,,,,,
k127_3219187_2,,,,,
k127_4257215_2,,,88,,
k127_5918451_2,,,12,K01193,2
k127_10071392_1,,,18,K00239,1
k127_10071392_2,,,12,K06286,2
k127_2803802_1,K00942,"gmk, GUK1; guanylate kinase [EC:2.7.4.8]",74,,
k127_10694285_1,K07016,"csm1, cas10; CRISPR-associated protein Csm1",150,,
k127_8617943_5,K03110,ftsY; fused signal recognition particle receptor,314,,
k127_8514089_3,,,11,K02528,3
k127_1661734_1,,,14,K06179,4
k127_10382914_1,K07126,K07126; uncharacterized protein,31,,
k127_10382914_2,K00982,glnE; [glutamine synthetase] adenylyltransferase / [glutamine synthetase]-adenylyl-L-tyrosine phosphorylase [EC:2.7.7.42 2.7.7.89],836,,
k127_10382914_3,K11752,ribD; diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193],392,,
k127_10382914_4,K07738,nrdR; transcriptional repressor NrdR,197,,
k127_4153436_1,,,13,K01218,7
k127_2284757_1,,,31,K07278,6
k127_4672699_1,,,111,K02014,7
k127_4257243_3,,,25,K18954,3
k127_312074_4,,,12,K03046,5
k127_8098743_1,K03655,recG; ATP-dependent DNA helicase RecG [EC:5.6.2.4],612,,
k127_10382928_2,,,19,K01783,6
k127_10382928_5,,,22,K07347,4
k127_6541370_1,K03046,rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6],1122,,
k127_6541370_2,K09022,"ridA, tdcF, RIDA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]",139,,
k127_6541370_4,,,16,K02409,2
k127_4568863_2,K07126,K07126; uncharacterized protein,166,,
k127_10486636_3,K02523,ispB; octaprenyl-diphosphate synthase [EC:2.5.1.90],219,,
k127_6022304_3,K00854,"xylB, XYLB; xylulokinase [EC:2.7.1.17]",402,,
k127_4049718_1,,,265,,
k127_7683533_2,,,12,K26148,4
k127_1246551_7,,,,,
k127_3842060_2,,,12,K07487,2
k127_9967612_1,,,13,K20169,2
k127_8825633_1,,,230,,
k127_5399574_3,,,28,K00370,4
k127_5191888_1,K14742,tsaB; tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,106,,
k127_4153486_3,,,11,K07788,2
k127_8721894_1,K02337,dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7],439,,
k127_4568915_1,,,15,K05559,3
k127_10279143_1,,,14,K01611,2
k127_9448636_1,,,19,K03565,2
k127_4257315_3,K11069,potD; spermidine/putrescine transport system substrate-binding protein,173,,
k127_2284860_2,K01785,"galM, GALM; aldose 1-epimerase [EC:5.1.3.3]",291,,
k127_7995102_3,K05989,ramA; alpha-L-rhamnosidase [EC:3.2.1.40],378,,
k127_7995102_8,,,224,K21573,44
k127_3946019_1,,,300,,
k127_6126356_2,,,16,K01867,2
k127_8098829_2,,,12,K03043,2
k127_8098829_3,,,10,K07098,4
k127_9344737_1,,,11,K01182,3
k127_6956866_1,,,13,K03695,3
k127_6956866_2,,,7,K13941,3
k127_6956866_4,,,11,K07146,10
k127_6956866_5,K01448,amiABC; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28],68,,
k127_6956866_6,,,15,K24950,2
k127_8721927_2,,,17,K03625,3
k127_10798319_2,,,178,,
k127_935224_1,,,13,K02014,2
k127_5710875_2,,,12,K01870,3
k127_3634601_1,,,20,K11202,3
k127_7475873_2,,,9,K06445,2
k127_7475873_3,,,605,,
k127_10694450_1,,,16,K15125,2
k127_5814811_2,,,11,K03531,8
k127_5918612_4,K15923,"AXY8, FUC95A, afcA; alpha-L-fucosidase 2 [EC:3.2.1.51]",574,,
k127_4984274_7,K24180,mleP; malate permease and related proteins,16,,
k127_831437_7,K13598,"ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.13.3]",53,,
k127_5191994_2,,,26,K06147,2
k127_9033341_1,,,24,K00688,3
k127_8306567_5,,,8,K02888,4
k127_6230147_5,,,215,,
k127_6541527_1,K01872,"AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]",350,,
k127_2907826_1,K19294,algI; alginate O-acetyltransferase complex protein AlgI,91,,
k127_6853226_1,,,11,K00648,3
k127_6022481_1,K07636,"phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]",199,K02484,26
k127_4880590_6,K07315,rsbU_P; phosphoserine phosphatase RsbU/P [EC:3.1.3.3],144,,
k127_5088075_4,K03763,"polC; DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]",1282,,
k127_4776628_1,K05515,mrdA; penicillin-binding protein 2 [EC:3.4.16.4],236,,
k127_1350528_1,,,11,K00951,3
k127_10590634_3,,,18,K01434,2
k127_8410535_3,K04042,glmU; bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157],490,,
k127_3323186_1,K01585,speA; arginine decarboxylase [EC:4.1.1.19],638,,
k127_8722063_1,K03292,"TC.GPH; glycoside/pentoside/hexuronide:cation symporter, GPH family",21,,
k127_7683746_1,,,20,K07637,3
k127_2077421_2,K07496,K07496; putative transposase,153,,
k127_2700348_4,,,17,K01961,4
k127_10694563_4,,,9,K17315,2
k127_312317_2,,,21,K00817,6
k127_1002_3,,,,,
k127_11109844_1,K07335,"bmpA, bmpB, tmpC; basic membrane protein A and related proteins",162,,
k127_7476035_1,,,10,K09612,3
k127_5503473_4,K04041,"fbp3; fructose-1,6-bisphosphatase III [EC:3.1.3.11]",734,,
k127_2077466_6,,,14,K01874,2
k127_4672985_1,K02836,prfB; peptide chain release factor 2,388,,
k127_4153676_4,K02355,"fusA, GFM, EFG; elongation factor G",589,,
k127_4153676_5,K07636,"phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]",49,,
k127_8514442_1,K03770,ppiD; peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8],34,,
k127_3115643_6,K07082,mltG; peptidoglycan lytic transglycosylase G [EC:4.2.2.29],174,,
k127_10902205_5,K01972,"E6.5.1.2, ligA, ligB; DNA ligase (NAD+) [EC:6.5.1.2]",359,,
k127_5088152_1,K12524,thrA; bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3],374,,
k127_7164684_2,K02188,cbiD; cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195],224,,
k127_727654_2,,,36,K06894,11
k127_9967855_1,K05366,mrcA; penicillin-binding protein 1A [EC:2.4.99.28 3.4.16.4],423,,
k127_1039119_2,,,8,K02770,7
k127_4257534_2,K01002,mdoB; phosphoglycerol transferase [EC:2.7.8.20],12,,
k127_2285079_1,K00820,"glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]",529,,
k127_8722182_1,,,14,K02810,2
k127_10798509_1,,,20,K05802,3
k127_7995353_2,K00602,purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10],428,,
k127_6541655_2,,,139,K02482,12
k127_2908012_1,K26730,"napA, nhaS3, nhaS5, gerN; Na+:H+ antiporter",249,,
k127_5295979_2,K03723,mfd; transcription-repair coupling factor (superfamily II helicase) [EC:5.6.2.4],893,,
k127_3219582_1,,,19,K02406,3
k127_1662050_11,,,27,K15461,3
k127_2492823_4,,,17,K20480,2
k127_9863943_6,K02283,"cpaF, tadA; pilus assembly protein CpaF [EC:7.4.2.8]",302,,
k127_9863943_10,,,7,K02342,2
k127_5607405_5,,,11,K02355,3
k127_10694668_4,K18138,"acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump",751,,
k127_6437987_1,,,9,K01091,6
k127_9033515_2,K07497,K07497; putative transposase,105,,
k127_10383278_1,,,17,K03735,3
k127_6438013_1,,,12,K03406,7
k127_935528_2,,,,,
k127_10590821_3,,,25,K04485,2
k127_8203036_1,K07277,"SAM50, TOB55, bamA; outer membrane protein insertion porin family",33,,
k127_8203036_4,,,10,K09800,5
k127_3427139_1,,,10,K01895,3
k127_3634858_4,,,560,K21573,53
k127_3634858_6,,,28,K00773,2
k127_3634858_7,,,12,K03203,2
k127_1350722_1,,,12,K01130,2
k127_1350722_2,K01297,ldcA; muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13],143,,
k127_1350722_3,,,13,K13629,5
k127_1350722_4,,,21,K13652,2
k127_6022668_2,K01925,murD; UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9],225,,
k127_6438046_2,,,20,K00673,3
k127_6438046_3,,,11,K01929,3
k127_5918919_1,,,17,K11941,11
k127_4257636_2,K01881,"PARS, proS; prolyl-tRNA synthetase [EC:6.1.1.15]",421,,
k127_4465414_1,,,22,K01139,7
k127_2285181_1,,,25,K01187,15
k127_4569281_1,,,6,K01270,4
k127_1766135_2,K00971,"manC, cpsB; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]",284,,
k127_3738701_1,,,21,K04079,6
k127_3738701_5,,,343,,
k127_6749518_6,K15532,"yteR, yesR; unsaturated rhamnogalacturonyl hydrolase [EC:3.2.1.172]",16,,
k127_4880829_1,K01187,malZ; alpha-glucosidase [EC:3.2.1.20],68,,
k127_3219722_2,,,18,K16692,3
k127_831776_4,,,31,K19231,4
k127_9033605_3,,,13,K02433,2
k127_9033605_4,,,21,K03686,2
k127_2077635_1,,,27,K15125,7
k127_8722345_4,,,69,K07099,5
k127_8722347_1,K02856,rhaT; L-rhamnose-H+ transport protein,163,,
k127_6749537_1,,,18,K03737,2
k127_3842499_2,,,11,K03630,2
k127_3842500_2,K01006,"ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]",375,,
k127_9033619_1,,,131,,
k127_9033619_4,,,237,,
k127_6334392_3,K10541,mglC; methyl-galactoside transport system permease protein,211,,
k127_8099207_2,,,12,K00059,3
k127_2389081_2,K03325,"ACR3, arsB; arsenite transporter",383,,
k127_7372472_2,,,124,,
k127_1281_1,,,14,K17244,2
k127_624071_4,,,14,K08906,1
k127_3115916_1,K05349,bglX; beta-glucosidase [EC:3.2.1.21],215,,
k127_208881_1,K05349,bglX; beta-glucosidase [EC:3.2.1.21],474,,
k127_9241365_4,K08307,"mltD, dniR; peptidoglycan lytic transglycosylase D [EC:4.2.2.29]",213,,
k127_7268846_1,,,16,K05841,2
k127_6749584_1,K03587,ftsI; cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4],89,K08384,11
k127_6853579_1,,,9,K04029,4
k127_6853579_2,K01710,"rfbB, rmlB, rffG; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]",329,,
k127_2077690_3,,,183,,
k127_2077690_9,K00096,"araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]",13,,
k127_2077690_19,K06213,mgtE; magnesium transporter,368,,
k127_104878_4,K02994,"RP-S8, MRPS8, rpsH; small subunit ribosomal protein S8",167,,
k127_1870029_3,K03734,apbE; FAD:protein FMN transferase [EC:2.7.1.180],177,,
k127_1870029_4,,,,,
k127_11110135_1,,,12,K09476,3
k127_4880905_1,,,300,K21573,120
k127_4880905_2,,,10,K00658,9
k127_4880905_4,,,12,K15633,2
k127_7268880_1,,,15,K06970,2
k127_10279630_1,,,14,K18015,2
k127_9760567_1,,,,,
k127_9760567_2,,,22,K03312,3
k127_6230501_1,,,17,K11036,3
k127_11317771_2,K05970,SIAE; sialate O-acetylesterase [EC:3.1.1.53],39,,
k127_1348_1,K03070,secA; preprotein translocase subunit SecA [EC:7.4.2.8],505,,
k127_1870043_1,K05786,rarD; chloramphenicol-sensitive protein RarD,159,,
k127_1870043_2,K03312,"gltS; glutamate:Na+ symporter, ESS family",324,,
k127_1870043_3,K00962,"pnp, PNPT1; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]",349,,
k127_1870043_5,,,12,K02008,3
k127_1870043_6,,,8,K03722,2
k127_1870043_7,,,,,
k127_1870043_8,K03177,"truB, PUS4, TRUB1; tRNA pseudouridine55 synthase [EC:5.4.99.25]",272,,
k127_1870043_9,K02834,rbfA; ribosome-binding factor A,125,,
k127_1870043_10,K02519,"infB, MTIF2; translation initiation factor IF-2",434,,
k127_6334457_1,,,12,K03151,2
k127_8203194_1,K03657,"uvrD, pcrA; ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]",203,,
k127_104911_3,,,10,K23163,3
k127_8203205_4,K03466,"ftsK, spoIIIE; DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family",507,,
k127_312639_1,K01338,lon; ATP-dependent Lon protease [EC:3.4.21.53],408,,
k127_5919118_1,,,174,K19155,3
k127_520302_2,,,143,,
k127_520302_3,,,130,K09835,10
k127_520302_6,,,22,K03568,2
k127_7165039_2,K01866,"YARS, tyrS; tyrosyl-tRNA synthetase [EC:6.1.1.1]",442,,
k127_1397_3,K03737,"por, nifJ; pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]",410,,
k127_7891686_6,,,564,K21573,138
k127_4984748_1,,,21,K09689,2
k127_9345281_1,,,15,K22512,3
k127_1973912_1,,,18,K09883,3
k127_6230554_2,K05592,"deaD, cshA; ATP-dependent RNA helicase DeaD [EC:5.6.2.7]",405,,
k127_6230554_5,K01756,"purB, ADSL; adenylosuccinate lyase [EC:4.3.2.2]",439,,
k127_6230554_6,K11085,"msbA; ATP-binding cassette, subfamily B, bacterial MsbA [EC:7.5.2.6]",283,K06147,67
k127_6230554_9,,,36,K03529,7
k127_831923_2,K03650,"mnmE, trmE, MSS1; tRNA modification GTPase [EC:3.6.-.-]",332,,
k127_209019_1,,,14,K06398,2
k127_2181726_2,K03797,"E3.4.21.102, prc, ctpA; carboxyl-terminal processing protease [EC:3.4.21.102]",237,,
k127_2181726_3,K03797,"E3.4.21.102, prc, ctpA; carboxyl-terminal processing protease [EC:3.4.21.102]",254,,
k127_4154025_1,,,26,K18581,3
k127_8514833_5,,,103,K00655,7
k127_8514833_6,,,17,K17722,5
k127_8514833_7,,,22,K20611,2
k127_10072040_3,K00615,"E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]",224,,
k127_10072040_4,K00615,"E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]",166,,
k127_1247097_1,K00764,"purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]",229,,
k127_10902585_1,,,19,K04485,2
k127_4984820_2,K07091,lptF; lipopolysaccharide export system permease protein,30,K00405,6
k127_728055_2,K06131,clsA_B; cardiolipin synthase A/B [EC:2.7.8.-],255,,
k127_624243_1,,,15,K01187,2
k127_1766348_3,K03150,thiH; 2-iminoacetate synthase [EC:4.1.99.19],415,,
k127_6230600_3,,,9,K27443,3
k127_1039444_2,,,17,K19222,2
k127_9033873_5,,,14,K12685,3
k127_8930015_4,K03929,pnbA; para-nitrobenzyl esterase [EC:3.1.1.-],195,,
k127_7372643_1,,,,,
k127_6438400_1,K03151,thiI; tRNA uracil 4-sulfurtransferase [EC:2.8.1.4],457,,
k127_5400324_6,,,13,K01637,3
k127_6957424_10,K03703,uvrC; excinuclease ABC subunit C,290,,
k127_11317961_2,,,18,K18138,3
k127_1662402_2,,,26,K03828,11
k127_6749788_2,K07126,K07126; uncharacterized protein,47,,
k127_2700843_1,K01872,"AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]",475,,
k127_1558766_1,,,34,K07486,26
k127_4984893_2,K16899,addB; ATP-dependent helicase/nuclease subunit B [EC:5.6.2.4 3.1.-.-],27,K02066,7
k127_9033939_1,,,12,K01005,8
k127_9864311_12,,,24,K02027,4
k127_10591208_2,K03686,dnaJ; molecular chaperone DnaJ,16,,
k127_3116156_4,K01208,"cd, ma, nplT; cyclomaltodextrinase / maltogenic alpha-amylase / neopullulanase [EC:3.2.1.54 3.2.1.133 3.2.1.135]",70,K01187,48
k127_3116156_6,,,14,K01218,9
k127_7269106_1,,,425,K21573,89
k127_7476581_5,,,148,K07814,17
k127_7476581_7,,,13,K07637,2
k127_7476581_8,K03394,cobI-cbiL; precorrin-2/cobalt-factor-2 C20-methyltransferase [EC:2.1.1.130 2.1.1.151],119,K02190,13
k127_3012259_1,,,22,K03640,2
k127_1143627_1,K21636,nrdD; ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6],15,K00525,10
k127_7269133_2,,,241,,
k127_1563_13,K00059,"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]",262,,
k127_1563_18,K03701,uvrA; excinuclease ABC subunit A,1172,,
k127_1563_19,K03703,uvrC; excinuclease ABC subunit C,455,,
k127_10798937_7,K06147,"ABCB-BAC; ATP-binding cassette, subfamily B, bacterial",498,,
k127_2181933_1,K01872,"AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]",734,,
k127_416674_1,K03544,"clpX, CLPX; ATP-dependent Clp protease ATP-binding subunit ClpX",271,,
k127_8618796_2,K11105,"cvrA, nhaP2; potassium/hydrogen antiporter",365,,
k127_9553151_1,K03043,rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6],33,,
k127_1870263_1,,,13,K00325,2
k127_10072195_1,,,10,K22444,4
k127_5296468_7,,,60,K01997,2
k127_5296468_8,,,26,K03116,2
k127_2077965_1,,,25,K03529,4
k127_624377_23,,,154,K03529,5
k127_6127016_3,,,10,K18850,5
k127_6127016_7,K25135,K25135; cyclic di-GMP phosphodiesterase [EC:3.1.4.-],114,,
