KO,EC,RXN
K00059,,R02767  (3R)-3-hydroxyacyl-[acyl-carrier-protein]:NADP+ oxidoreductase;R04533  (3R)-3-hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase;R04534  (3R)-3-hydroxydecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase;R04536  (3R)-3-hydroxyoctanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase;R04543  (3R)-3-hydroxypalmitoyl-[acyl-carrier-protein]:NADP+ oxidoreductase;R04566  (3R)-3-hydroxytetradecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase;R04953  (3R)-3-hydroxyhexanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase;R04964  (3R)-3-hydroxydodecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase;R07763;R10116  3-hydroxyglutaryl-[acp]-methyl-ester:NADP+ oxidoreductase;R10120  3-hydroxypimeloyl-[acp]-methyl-ester:NADP+ oxidoreductase;R11671
K00060,,R01465  L-threonine:NAD+ oxidoreductase
K00064,,R07675  L-galactose:NAD+ 1-oxidoreductase;R08926  L-fucose:NAD+ 1-oxidoreductase
K00065,,R01542  2-dehydro-3-deoxy-D-gluconate:NAD+ 5-oxidoreductase
K00066,,R00880  GDP-D-mannose:NAD+ 6-oxidoreductase
K00067,,R02777  dTDP-beta-L-rhamnose:NADP+ 4-oxidoreductase
K00074,,R01976  (S)-3-hydroxybutanoyl-CoA:NADP+ oxidoreductase;R05576  (S)-3-hydroxybutanoyl-CoA:NADP+ oxidoreductase;R06941  (S)-3-hydroxyacyl-CoA:NAD+ oxidoreductase
K00075,,R03191  UDP-N-acetylmuramate:NADP+ oxidoreductase;R03192  UDP-N-acetylmuramate:NADP+ oxidoreductase
K00076,,
K00077,,R02472  (R)-pantoate:NADP+ 2-oxidoreductase
K00088,,R01130  IMP:NAD+ oxidoreductase;R08240  6-thioinosine 5'-monophosphate:NAD+ oxidoreductase
K00090,,R00465  glycolate:NADP+ oxidoreductase;R01388  D-glycerate:NAD+ 2-oxidoreductase;R01392  D-glycerate:NADP+ 2-oxidoreductase;R01739  D-gluconate:NADP+ 2-oxidoreductase
K00094,,R05571  galactitol-1-phosphate:NAD oxidoreductase
K00096,,R05679  sn-glycerol-1-phosphate:NAD 2-oxidoreductase;R05680  sn-glycerol-1-phosphate:NADP 2-oxidoreductase
K00097,,R05681  NAD-dependent threonine 4-phosphate dehydrogenase;R05837  4-(phosphonooxy)threonine:NAD oxidoreductase;R07406
K00099,,R05688  1-deoxy-D-xylulose-5-phosphate isomeroreductase
K00101,,R00196  (S)-lactate:ferricytochrome-c 2-oxidoreductase
K00102,,R00197  (R)-lactate:ferricytochrome-c 2-oxidoreductase
K00104,,R00475  glycolate:oxygen 2-oxidoreductase;R00476  glycolate:acceptor 2-oxidoreductase
K00108,,R01025  choline:acceptor 1-oxidoreductase
K00111,,R00848  sn-glycerol-3-phosphate:(acceptor) 2-oxidoreductase
K00112,,R00848  sn-glycerol-3-phosphate:(acceptor) 2-oxidoreductase
K00113,,R00848  sn-glycerol-3-phosphate:(acceptor) 2-oxidoreductase
K00114,,R05062  2-propyn-1-ol:cytochrome-c oxidoreductase;R05198  ethanol:cytochrome c oxidoreductase;R05285  2-chloroethanol:cytochrome c oxidoreductase
K00116,,R00360  (S)-malate:oxygen oxidoreductase;R00361  (S)-malate:quinone oxidoreductase;R01257  (S)-malate:FAD oxidoreductase
K00117,,R06620  D-glucose:ubiquinone oxidoreductase
K00120,,
K00121,,"R00623  primary_alcohol:NAD+ oxidoreductase;R00754  ethanol:NAD+ oxidoreductase;R02124  retinol:NAD+ oxidoreductase;R04880  3,4-dihydroxyphenylethyleneglycol:NAD+ oxidoreductase;R05233  trans-3-chloro-2-propene-1-ol:NAD+ oxidoreductase;R05234  cis-3-chloro-2-propene-1-ol:NAD+ oxidoreductase;R06917  1-hydroxymethylnaphthalene:NAD+ oxidoreductase;R06927  (2-naphthyl)methanol:NAD+ oxidoreductase;R06983  S-(hydroxymethyl)glutathione dehydrogenase;R07105  trichloroethanol:NAD+ oxidoreductase;R08281  alcophosphamide:NAD+ oxidoreductase;R08306  2-phenyl-1,3-propanediol monocarbamate:NAD+ oxidoreductase;R08310  4-hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one:NAD+ oxidoreductase"
K00123,,R00519  formate:NAD+ oxidoreductase
K00124,,R00519  formate:NAD+ oxidoreductase
K00126,,R00519  formate:NAD+ oxidoreductase
K00127,,R00519  formate:NAD+ oxidoreductase
K00128,,"R00264  2,5-dioxopentanoate:NADP+ 5-oxidoreductase;R00631  aldehyde:NAD+ oxidoreductase;R00710  acetaldehyde:NAD+ oxidoreductase;R00904  3-aminopropanal:NAD+ oxidoreductase;R01752  D-glyceraldehyde:NAD+ oxidoreductase;R01986  4-aminobutyraldehyde:NAD+ oxidoreductase;R02549  4-aminobutanal:NAD+ 1-oxidoreductase;R02678  indole-3-acetaldehyde:NAD+ oxidoreductase;R02940  2-propyn-1-al:NAD+ oxidoreductase;R02957  D-glucuronolactone:NAD+ oxidoreductase;R03283  4-trimethylammoniobutanal:NAD+ 1-oxidoreductase;R03869  (S)-methylmalonate semialdehyde:NAD+ oxidoreductase;R04065  imidazole acetaldehyde:NAD+ oxidoreductase;R04506  3alpha,7alpha-dihydroxy-5beta-cholestan-26-al:NAD+ oxidoreductase;R04903  5-hydroxyindoleacetaldehyde:NAD+ oxidoreductase;R05050  N4-acetylaminobutanal:NAD+ oxidoreductase;R05237;R05238;R05286  chloroacetaldehyde:NAD+ oxidoreductase;R06366  aldehyde:NAD+ oxidoreductase;R08146  farnesal:NAD+ oxidoreductase"
K00130,,R02565  p-cumic alcohol:NAD+ oxidoreductase;R02566  p-cumic alcohol:NADP+ oxidoreductase
K00133,,R02291  L-aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating)
K00134,,R01061  D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)
K00135,,R00713  succinate-semialdehyde:NAD+ oxidoreductase;R00714  succinate-semialdehyde:NADP+ oxidoreductase;R02401  glutarate-semialdehyde:NAD+ oxidoreductase
K00138,,R00711  acetaldehyde:NADP+ oxidoreductase
K00140,,"R00705  3-oxopropanoate:NAD+ oxidoreductase (decarboxylating, CoA-acetylating);R00706  3-oxopropanoate:NADP+ oxidoreductase (decarboxylating, CoA-acetylating);R00922  2-methyl-3-oxopropanoate:NAD+ oxidoreductase (CoA-propanoylating);R00935  (S)-methylmalonate semialdehyde:NAD+ oxidoreductase (CoA-propanoylating)"
K00141,,R01293  4-hydroxybenzaldehyde:NAD+ oxidoreductase;R01419  benzaldehyde:NAD+ oxidoreductase;R05289  p-methylbenzaldehyde:NADP+ oxidoreductase;R05663;R05664;R07667  3-hydroxybenzaldehyde:NAD+ oxidoreductase
K00145,,R03443  N-acetyl-L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphrylating)
K00147,,R03313  L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphorylating)
K00151,,R04418  5-carboxymethyl-2-hydroxymuconic-semialdehyde:NAD+ oxidoreductase
K00153,,R09129  S-(hydroxymethyl)mycothiol:NAD+ oxidoreductase;R10301  S-(hydroxymethyl)mycothiol:NAD+ oxidoreductase
K00156,,R03145  pyruvate:ubiquinone oxidoreductase
K00158,,R00207  pyruvate:oxygen 2-oxidoreductase (phosphorylating)
K00162,,"R00014  pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating);R00209  pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating);R01699  pyruvate:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-acetylating);R03270"
K00163,,"R00014  pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating);R00209  pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating);R01699  pyruvate:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-acetylating);R03270"
K00164,,"R00621  ;R01700  2-oxoglutarate:[dihydrolipoyllysine-residue succinyltransferase]-lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-succinylating);R03316;R08549  2-oxoglutarate:NAD+ 2-oxidoreductase (CoA-succinylating)"
K00166,,"R01210  3-methyl-2-oxobutanoate:NAD+ oxidoreductase (CoA-mehtylpropanoylating);R01651  4-methyl-2-oxopentanoate:NAD+ oxidoreductase (CoA-mehtylpropanoylating);R01701  3-methyl-2-oxobutanoate:[dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-2-methylpropanoylating);R01702  4-methyl-2-oxopentanoate:[dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-2-methylpropanoylating);R03171  (S)-3-methyl-2-oxopentanoate:NAD+ 2-oxidoreductase (CoA-methylbutanoylating);R04225  (S)-3-methyl-2-oxopentanoate:[dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-2-methylpropanoylating);R07599;R07600;R07601;R07602;R07603;R07604;R10996;R10997"
K00167,,"R01210  3-methyl-2-oxobutanoate:NAD+ oxidoreductase (CoA-mehtylpropanoylating);R01651  4-methyl-2-oxopentanoate:NAD+ oxidoreductase (CoA-mehtylpropanoylating);R01701  3-methyl-2-oxobutanoate:[dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-2-methylpropanoylating);R01702  4-methyl-2-oxopentanoate:[dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-2-methylpropanoylating);R03171  (S)-3-methyl-2-oxopentanoate:NAD+ 2-oxidoreductase (CoA-methylbutanoylating);R04225  (S)-3-methyl-2-oxopentanoate:[dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-2-methylpropanoylating);R07599;R07600;R07601;R07602;R07603;R07604;R10996;R10997"
K00169,,R01196  pyruvate:ferredoxin 2-oxidoreductase (CoA-acetylating);R01199  2-oxobutanoate:ferredoxin 2-oxidoreductase (CoA-propanoylating);R08034
K00170,,R01196  pyruvate:ferredoxin 2-oxidoreductase (CoA-acetylating);R01199  2-oxobutanoate:ferredoxin 2-oxidoreductase (CoA-propanoylating);R08034
K00174,,R01196  pyruvate:ferredoxin 2-oxidoreductase (CoA-acetylating);R01197  2-oxoglutarate:ferredoxin oxidoreductase (decarboxylating)
K00175,,R01196  pyruvate:ferredoxin 2-oxidoreductase (CoA-acetylating);R01197  2-oxoglutarate:ferredoxin oxidoreductase (decarboxylating)
K00176,,R01197  2-oxoglutarate:ferredoxin oxidoreductase (decarboxylating)
K00177,,R01197  2-oxoglutarate:ferredoxin oxidoreductase (decarboxylating)
K00179,,
K00180,,
K00185,,R09501  dimethyl sulfide:menaquinone oxidoreductase
K00186,,R07160  3-methyl-2-oxobutanoate:ferredoxin oxidoreductase (decarboxylating;CoA-2-methylpropanoylating);R08566  4-methyl-2-oxopentanoate:ferredoxin oxidoreductase (decarboxylating; CoA-3-methylbutanoylating);R08567  (S)-3-methyl-2-oxopentanoate:ferredoxin oxidoreductase (decarboxylating; CoA-2-methylbutanoylating)
K00187,,R07160  3-methyl-2-oxobutanoate:ferredoxin oxidoreductase (decarboxylating;CoA-2-methylpropanoylating);R08566  4-methyl-2-oxopentanoate:ferredoxin oxidoreductase (decarboxylating; CoA-3-methylbutanoylating);R08567  (S)-3-methyl-2-oxopentanoate:ferredoxin oxidoreductase (decarboxylating; CoA-2-methylbutanoylating)
K00193,,R09096  ;R10219
K00200,,R03015  formylmethanofuran:ferredoxin oxidoreductase;R08060
K00201,,R03015  formylmethanofuran:ferredoxin oxidoreductase;R08060
K00206,,R04251  phosphonoacetaldehyde:NAD+ oxidoreductase
K00208,,R01403  acyl-[acyl-carrier-protein]:NAD+ oxidoreductase;R01404  acyl-[acyl-carrier protein]:NADP+ oxidoreductase;R04429  butyryl-[acp]:NAD+ trans-2-oxidoreductase;R04430  butyryl-[acp]:NADP+ trans-2-oxidoreductase;R04724  dodecanoyl-[acp]:NAD+ trans-2-oxidoreductase;R04725  dodecanoyl-[acp]:NADP+ trans-2-oxidoreductase;R04955  hexanoyl-[acp]:NAD+ trans-2-oxidoreductase;R04956  hexanoyl-[acp]:NADP+ trans-2-oxidoreductase;R04958  octanoyl-[acp]:NAD+ trans-2-oxidoreductase;R04959  octanoyl-[acp]:NADP+ trans-2-oxidoreductase;R04961  decanoyl-[acp]:NAD+ trans-2-oxidoreductase;R04962  decanoyl-[acp]:NADP+ trans-2-oxidoreductase;R04966  tetradecanoyl-[acp]:NAD+ trans-2-oxidoreductase;R04967  tetradecanoyl-[acp]:NADP+ trans-2-oxidoreductase;R04969  hexadecanoyl-[acp]:NAD+ trans-2-oxidoreductase;R04970  hexadecanoyl-[acp]:NADP+ trans-2-oxidoreductase;R07765  octadecanoyl-[acp]:NAD+ trans-2-oxidoreductase;R10118  glutaryl-[acp]-methyl-ester:NADP+ oxidoreductase;R10122  pimelyl-[acyl-carrier protein]-methyl-ester:NADP+ oxidoreductase;R11671
K00209,,R01171  butanoyl-CoA:NAD+ trans-2-oxidoreductase;R01403  acyl-[acyl-carrier-protein]:NAD+ oxidoreductase;R04429  butyryl-[acp]:NAD+ trans-2-oxidoreductase;R04724  dodecanoyl-[acp]:NAD+ trans-2-oxidoreductase;R04955  hexanoyl-[acp]:NAD+ trans-2-oxidoreductase;R04958  octanoyl-[acp]:NAD+ trans-2-oxidoreductase;R04961  decanoyl-[acp]:NAD+ trans-2-oxidoreductase;R04966  tetradecanoyl-[acp]:NAD+ trans-2-oxidoreductase;R04969  hexadecanoyl-[acp]:NAD+ trans-2-oxidoreductase
K00215,,"R04198  2,3,4,5-tetrahydrodipicolinate:NAD+ 4-oxidoreductase;R04199  2,3,4,5-tetrahydrodipicolinate:NADP+ 4-oxidoreductase"
K00218,,"R03845  chlorophyllide-a:NADP+ 7,8-oxidoreductase;R06286  chlorophyllide-a:NADP+ 7,8-oxidoreductase"
K00219,,
K00228,,R03220  coproporphyrinogen:oxygen oxidoreductase (decarboxylating)
K00231,,R03222  protoporphyrinogen-IX:oxygen oxidoreductase;R04178  coproporphyrinogen-III:oxygen oxidoreductase (coproporphyrin-forming)
K00232,,"R01175  butanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R01279  palmitoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R03777  octanoyl-CoA:electron-transfer flavoprotein 2-oxidoreductase;R03857  lauroyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R03990  tetradecanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R04751  hexanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R04754  decanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R07888;R07892;R07896;R07934  (6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA:oxygen 2-oxidoreductase;R07950  (6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA:oxygen 2-oxidoreductase;R12356  propanoyl-CoA:oxygen 2-oxidoreductase"
K00233,,R02164  succinate:quinone oxidoreductase
K00239,,R02164  succinate:quinone oxidoreductase
K00240,,R02164  succinate:quinone oxidoreductase
K00241,,R02164  succinate:quinone oxidoreductase
K00243,,
K00244,,R02164  succinate:quinone oxidoreductase
K00245,,R02164  succinate:quinone oxidoreductase
K00247,,R02164  succinate:quinone oxidoreductase
K00248,,"R01175  butanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R01178  short-chain acyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R02661  2-methylpropanoyl-CoA:(acceptor) 2,3-oxidoreductase;R03172  (S)-2-methylbutanoyl-CoA:acceptor 2,3-oxidoreductase;R04432  propanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R04751  hexanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"
K00249,,"R01175  butanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R01279  palmitoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R02661  2-methylpropanoyl-CoA:(acceptor) 2,3-oxidoreductase;R03172  (S)-2-methylbutanoyl-CoA:acceptor 2,3-oxidoreductase;R03777  octanoyl-CoA:electron-transfer flavoprotein 2-oxidoreductase;R03857  lauroyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R03990  tetradecanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R04095  3-methylbutanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R04751  hexanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R04754  decanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"
K00252,,"R02487  glutaryl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase (decarboxylating);R02488  glutaryl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase (decarboxylating);R10074  glutaryl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"
K00253,,"R04095  3-methylbutanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"
K00254,,R01868  (S)-dihydroorotate:quinone oxidoreductase
K00255,,"R01279  palmitoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R03777  octanoyl-CoA:electron-transfer flavoprotein 2-oxidoreductase;R03857  lauroyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R03990  tetradecanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R04751  hexanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R04754  decanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"
K00259,,R00396  L-alanine:NAD+ oxidoreductase (deaminating)
K00260,,R00243  L-glutamate:NAD+ oxidoreductase (deaminating)
K00261,,R00243  L-glutamate:NAD+ oxidoreductase (deaminating);R00248  L-glutamate:NADP+ oxidoreductase (deaminating)
K00262,,R00248  L-glutamate:NADP+ oxidoreductase (deaminating)
K00263,,R01088  L-leucine:NAD+ oxidoreductase (deaminating);R01434  L-valine:NAD+ oxidoreductase(deaminating);R02196  L-isoleucine:NAD+ oxidoreductase(deaminating)
K00265,,R00114  L-glutamate:NADP+ oxidoreductase (transaminating);R00248  L-glutamate:NADP+ oxidoreductase (deaminating)
K00266,,R00114  L-glutamate:NADP+ oxidoreductase (transaminating);R00248  L-glutamate:NADP+ oxidoreductase (deaminating)
K00274,,"R02173  tryptamine:oxygen oxidoreductase(deaminating);R02382  tyramine:oxygen oxidoreductase(deaminating)(flavin-containing);R02529  aminoacetone:oxygen oxidoreductase(deaminating);R02532  4-[(1R)-2-amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing);R02613  phenethylamine:oxygen oxidoreductase (deaminating);R02908  5-hydroxytryptamine:oxygen oxidoreductase(deaminating)(flavin-containing);R02919  4-[(1R)-1-hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing);R04025  N-acetylputrescine:oxygen oxidoreductase(deaminating)(flavin-containing);R04300  4-(2-aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing);R04674  N-methylhistamine:oxygen oxidoreductase (deaminating);R04890  3-methoxytyramine:oxygen oxidoreductase (deaminating) (copper-containing);R04893  L-normetanephrine:oxygen oxidoreductase (deaminating) (copper-containing);R04894  L-metanephrine:oxygen oxidoreductase (deaminating) (flavin-containing);R04907  3-hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing);R04908  5-hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing);R08346  citalopram:oxygen oxidoreductase(deaminating)(flavin-containing);R08347  demethylcitalopram:oxygen oxidoreductase(deaminating)(flavin-containing);R08348  didemethylcitalopram:oxygen oxidoreductase(deaminating)(flavin-containing);R11354  RCH2NHR':oxygen oxidoreductase (deaminating)"
K00275,,R00277  pyridoxamine-5'-phosphate:oxygen oxidoreductase (deaminating);R00278  pyridoxine 5'-phosphate:oxygen oxidoreductase;R01710  pyridoxamine:oxygen oxidoreductase (deaminating);R01711  pyridoxine:oxygen oxidoreductase (deaminating)
K00276,,"R02382  tyramine:oxygen oxidoreductase(deaminating)(flavin-containing);R02529  aminoacetone:oxygen oxidoreductase(deaminating);R02613  phenethylamine:oxygen oxidoreductase (deaminating);R03139  primary-amine oxidase;R04027;R04300  4-(2-aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing);R06154  methylamine:oxygen oxidoreductase (deaminating) (copper-containing);R06740"
K00278,,R00357  L-aspartic acid:oxygen oxidoreductase (deaminating);R00481  L-aspartate:oxygen oxidoreductase
K00281,,R01221  glycine:NAD+ 2-oxidoreductase (tetrahydrofolate-methylene-adding);R03425  glycine:lipoylprotein oxidoreductase (decarboxylating and acceptor-aminomethylating)
K00282,,R01221  glycine:NAD+ 2-oxidoreductase (tetrahydrofolate-methylene-adding);R03425  glycine:lipoylprotein oxidoreductase (decarboxylating and acceptor-aminomethylating)
K00283,,R01221  glycine:NAD+ 2-oxidoreductase (tetrahydrofolate-methylene-adding);R03425  glycine:lipoylprotein oxidoreductase (decarboxylating and acceptor-aminomethylating)
K00284,,R00021  L-glutamate:ferredoxin oxidoreductase (transaminating);R10086  L-glutamate:ferredoxin oxidoreductase (deaminating)
K00285,,R01374  D-phenylalanine:quinone oxidoreductase (deaminating);R09493  D-amino acid:quinone oxidoreductase (deaminating)
K00286,,R01248  L-proline:NAD+ 5-oxidoreductase;R01251  L-proline:NADP+ 5-oxidoreductase;R03291  trans-4-hydroxy-L-proline:NAD+ 5-oxidoreductase;R03293  trans-4-hydroxy-L-proline:NADP+ 5-oxidoreductase
K00287,,"R00936  5,6,7,8-tetrahydrofolate:NAD+ oxidoreductase;R00937  5,6,7,8-tetrahydrofolate:NAD+ oxidoreductase;R00939  5,6,7,8-tetrahydrofolate:NADP+ oxidoreductase;R00940  5,6,7,8-tetrahydrofolate:NADP+ oxidoreductase;R02235  dihydrofolate:NAD+ oxidoreductase;R02236  dihydrofolate:NADP+ oxidoreductase;R11765  tetrahydrobiopterin:NADP+ oxidoreductase (7,8-dihydrobiopterin-forming)"
